genres,N
Action-Crime-Drama-Romance-Thriller-end,6
Action-Crime-Drama-SciFi-Thriller-end,2
Action-Crime-Drama-Sport-end,1
Action-Crime-Drama-Thriller-end,65
Action-Crime-Drama-Thriller-War-end,1
Action-Crime-Drama-Thriller-Western-end,3
Action-Crime-Drama-Western-end,1
Action-Crime-end,4
Action-Crime-Fantasy-Romance-Thriller-end,1
Action-Crime-Fantasy-Thriller-end,3
Action-Crime-Horror-SciFi-Thriller-end,1
Action-Crime-Horror-Thriller-end,1
Action-Crime-Mystery-Romance-Thriller-end,2
Action-Crime-Mystery-SciFi-Thriller-end,1
Action-Crime-Mystery-Thriller-end,6
Action-Crime-Romance-Thriller-end,3
Action-Crime-SciFi-end,1
Action-Crime-SciFi-Thriller-end,10
Action-Crime-Sport-Thriller-end,1
Action-Crime-Thriller-end,62
Action-Drama-end,10
Action-Drama-Family-Sport-end,1
Action-Drama-Fantasy-end,2
Action-Drama-Fantasy-Horror-Thriller-end,1
Action-Drama-Fantasy-Horror-War-end,1
Action-Drama-Fantasy-Mystery-SciFi-Thriller-end,1
Action-Drama-Fantasy-Mystery-Thriller-end,1
Action-Drama-Fantasy-Romance-end,2
Action-Drama-Fantasy-SciFi-end,1
Action-Drama-Fantasy-Thriller-Western-end,1
Action-Drama-Fantasy-War-end,2
Action-Drama-History-end,1
Action-Drama-History-Romance-War-end,2
Action-Drama-History-Romance-War-Western-end,1
Action-Drama-History-Thriller-end,1
Action-Drama-History-Thriller-War-end,1
Action-Drama-History-War-end,8
Action-Drama-Horror-Thriller-end,2
Action-Drama-Music-Romance-end,1
Action-Drama-Mystery-SciFi-end,2
Action-Drama-Mystery-Thriller-end,1
Action-Drama-Mystery-Thriller-War-end,1
Action-Drama-Romance-end,3
Action-Drama-Romance-SciFi-Thriller-end,1
Action-Drama-Romance-Sport-end,1
Action-Drama-Romance-Thriller-end,1
Action-Drama-Romance-War-end,1
Action-Drama-SciFi-end,2
Action-Drama-SciFi-Sport-end,1
Action-Drama-SciFi-Thriller-end,9
Action-Drama-Sport-end,5
Action-Drama-Sport-Thriller-end,1
Action-Drama-Thriller-end,21
Action-Drama-Thriller-War-end,7
Action-Drama-War-end,10
Action-Drama-Western-end,2
Action-end,11
Action-Family-Fantasy-Musical-end,1
Action-Family-Sport-end,1
Action-Fantasy-end,2
Action-Fantasy-Horror-end,4
Action-Fantasy-Horror-Mystery-end,1
Action-Fantasy-Horror-Mystery-Thriller-end,1
Action-Fantasy-Horror-SciFi-end,1
Action-Fantasy-Horror-SciFi-Thriller-end,2
Action-Fantasy-Horror-Thriller-end,5
Action-Fantasy-Romance-SciFi-end,1
Action-Fantasy-SciFi-Thriller-end,1
Action-Fantasy-Thriller-end,4
Action-Fantasy-Western-end,1
Action-Horror-end,5
Action-Horror-Mystery-SciFi-Thriller-end,1
Action-Horror-Mystery-Thriller-end,1
Action-Horror-Romance-end,1
Action-Horror-Romance-SciFi-Thriller-end,1
Action-Horror-SciFi-end,9
Action-Horror-SciFi-Thriller-end,15
Action-Horror-Thriller-end,9
Action-Mystery-SciFi-Thriller-end,6
Action-Mystery-Thriller-end,9
Action-Romance-Sport-end,1
Action-Romance-Thriller-end,2
Action-SciFi-end,21
Action-SciFi-Sport-end,2
Action-SciFi-Thriller-end,16
Action-SciFi-War-end,1
Action-Sport-end,1
Action-Thriller-end,30
Action-Thriller-Western-end,1
Action-War-end,1
Action-Western-end,1
Adventure-Animation-Biography-Drama-Family-Fantasy-Musical-end,1
Adventure-Animation-Comedy-Crime-end,1
Adventure-Animation-Comedy-Crime-Family-end,1
Adventure-Animation-Comedy-Drama-Family-end,2
Adventure-Animation-Comedy-Drama-Family-Fantasy-end,1
Adventure-Animation-Comedy-Drama-Family-Fantasy-Musical-end,1
Adventure-Animation-Comedy-Drama-Family-Fantasy-Romance-end,1
Adventure-Animation-Comedy-Drama-Family-Fantasy-SciFi-end,1
Adventure-Animation-Comedy-Drama-Family-Musical-end,2
